,is_paid,num_subscribers,average_rating,rating,num_reviews,num_lectures,num_tests,time_created,time_published,discount,price
151,1,8188,4.36296,4.3628,3092,44,0,16597,16966,6.161458333333334,82.33333333333334
152,1,7633,4.37472,4.36324,3072,48,0,17427,17438,6.161458333333334,117.0
153,1,13004,4.42586,4.45435,3058,77,0,16576,16602,6.161458333333334,117.0
154,1,9522,4.42308,4.43797,3048,51,0,17052,17119,6.161458333333334,47.66666666666667
155,1,8861,4.56059,4.5649,3024,34,0,17650,17654,6.161458333333334,117.0
156,1,8109,4.42071,4.42156,2985,12,0,16870,16892,6.161458333333334,17.333333333333336
157,1,7182,4.4698,4.435,2949,19,0,16904,16912,6.161458333333334,17.333333333333336
158,1,25334,3.69231,3.65327,2935,18,0,17071,17099,0.0,17.333333333333336
159,1,5495,4.52152,4.50763,2935,45,0,17645,17648,0.0,21.666666666666668
160,1,20336,4.40909,4.40392,2935,17,0,17473,17477,6.689583333333333,21.666666666666668
161,1,7346,4.52863,4.51829,2940,32,0,18022,18352,6.161458333333334,86.66666666666667
162,1,8502,4.25524,4.247,2909,61,0,17157,17179,6.161458333333334,39.0
163,1,20072,4.53756,4.57387,2895,43,0,16260,16293,6.161458333333334,117.0
164,1,19740,4.48284,4.50605,2885,56,0,16455,16469,6.161458333333334,82.33333333333334
165,1,5302,4.39137,4.38655,2885,33,0,17899,17940,0.0,17.333333333333336
166,1,7297,4.36401,4.3746,2884,27,0,16548,16555,6.161458333333334,17.333333333333336
167,1,8832,4.24978,4.28929,2810,34,0,16533,16744,6.161458333333334,39.0
168,1,29714,4.33481,4.35075,2819,17,0,17551,17561,6.161458333333334,86.66666666666667
169,1,16888,4.41029,4.42242,2792,76,0,16401,16407,6.161458333333334,82.33333333333334
170,1,8345,4.42569,4.41008,2789,19,0,17098,17101,0.0,73.66666666666667
171,1,12236,4.59567,4.60274,2764,85,1,17680,17691,6.161458333333334,86.66666666666667
172,1,6669,4.42271,4.43334,2759,19,0,17961,17970,0.0,43.333333333333336
173,1,6948,4.39507,4.40222,2745,20,0,16723,16728,6.161458333333334,26.0
174,1,21961,4.56076,4.53399,2713,76,0,17362,17385,6.161458333333334,112.66666666666669
175,1,14527,4.10714,4.12178,2686,33,0,16709,16730,6.161458333333334,99.66666666666669
176,1,11251,4.51047,4.48389,2666,122,0,16488,16534,6.161458333333334,117.0
177,1,12207,4.51731,4.5961,2654,69,0,17522,17585,6.161458333333334,117.0
178,1,17134,4.50799,4.47349,2592,68,0,17455,17590,6.161458333333334,117.0
179,1,14265,4.37042,4.32472,2578,32,0,17321,17325,7.39375,138.66666666666669
180,1,8633,4.44255,4.44931,2577,61,0,18045,18096,0.0,86.66666666666667
181,1,14164,4.39474,4.45575,2560,58,0,17452,17476,6.161458333333334,117.0
